short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
3,呂玟君,攔中,0,0,0,0,0,0,0,0,0,0,0,0
5,林良黛,長攻,0,1,0,0,1,0,0,0,1,0,0,0
6,翁梓勻,攔中,4,12,0,1,17,0,0,0,2,0,0,5
7,林書荷,長攻,16,34,1,0,9,2,17,3,9,0,0,17
9,甘可慧,攔中,8,24,5,0,10,0,0,0,3,0,0,13
11,BIA,對角,9,23,3,0,12,0,1,2,15,0,0,12
12,廖苡任,舉球,0,0,0,0,13,0,0,0,20,15,91,0
22,陳莉鈞,長攻,0,0,0,0,0,0,0,0,0,0,0,0
23,陳莉鎔,舉球,0,0,0,0,2,0,0,0,1,0,6,0
24,王育文,攔中,0,0,0,0,0,0,0,0,0,0,0,0
69,陳潔,對角,0,4,0,0,0,2,2,0,1,0,0,0
77,吳芳妤,長攻,15,32,1,0,9,10,25,3,18,0,0,16
79,丁佩瑩,自由,0,0,0,0,0,0,0,0,0,0,0,0
99,邱詩晴,自由,0,0,0,0,0,8,13,3,15,0,0,0
1,李貝兒,長攻,7,25,1,0,8,7,45,1,10,0,0,8
5,葉于雯,攔中,4,10,2,0,12,0,1,0,4,0,0,6
6,童琦芳,長攻,0,0,0,1,2,0,4,0,2,0,0,1
7,謝靖瑩,舉球,0,0,0,0,5,0,0,0,3,8,36,0
8,MIRA,長攻,0,0,0,0,0,0,0,0,0,0,0,0
10,張芷瑄,自由,0,0,0,0,0,0,0,0,0,0,0,0
11,張稦豈,對角,10,31,1,0,6,0,0,1,11,0,0,11
13,YULIA,攔中,5,15,5,0,6,0,2,1,6,0,0,10
15,李子嫣,攔中,0,0,0,0,0,0,0,0,0,0,0,0
18,龔詩雯,長攻,0,0,0,0,0,0,0,0,0,0,0,0
19,陳亭汝,舉球,1,2,0,0,9,0,0,0,3,9,56,1
24,黃蔓亞,對角,2,6,0,0,0,0,0,0,0,0,0,2
33,BREE,長攻,4,21,1,1,13,1,7,0,6,0,0,6
76,林其蓉,自由,0,0,0,0,0,7,12,7,21,0,0,0
