short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
5,林良黛,長攻,0,0,0,0,0,0,0,0,0,0,0,0
6,翁梓勻,攔中,3,13,3,0,15,0,2,0,5,0,0,6
7,林書荷,長攻,15,38,3,0,16,13,26,10,23,0,0,18
9,甘可慧,攔中,11,29,3,2,12,0,2,3,9,0,0,16
10,POLINA,長攻,0,1,0,0,0,0,0,0,0,0,0,0
11,BIA,對角,18,47,1,1,19,0,2,12,28,0,0,20
12,廖苡任,舉球,0,2,1,0,12,0,0,7,17,45,136,1
23,陳莉鎔,舉球,0,0,0,0,0,0,0,0,0,0,0,0
24,王育文,攔中,0,0,0,0,0,0,0,0,0,0,0,0
69,陳潔,對角,0,0,0,0,0,0,0,0,0,0,0,0
77,吳芳妤,長攻,10,35,0,0,18,15,36,8,21,0,0,10
79,丁佩瑩,自由,0,0,0,0,0,0,0,2,13,0,0,0
88,陳佳蔓,舉球,0,0,0,0,0,0,0,0,0,0,0,0
99,邱詩晴,自由,0,0,0,0,0,8,14,10,14,0,0,0
2,欒妤雯,舉球,0,0,0,0,0,0,0,0,0,3,13,0
5,陳怡如,攔中,4,11,1,0,12,0,5,5,11,0,0,5
6,高歆媛,長攻,0,2,0,0,0,0,0,0,0,0,0,0
7,楊怡真,舉球,0,1,0,1,19,0,0,4,15,35,135,1
9,蔡幼群,長攻,12,34,0,0,14,3,7,3,15,0,0,12
10,吳詠涵,長攻,0,0,0,0,0,0,0,0,0,0,0,0
11,陳菀婷,長攻,11,31,2,0,11,0,1,9,20,0,0,13
13,SANTOS,長攻,24,61,2,2,17,27,58,14,27,0,0,28
14,葉亮言,攔中,0,0,0,0,0,0,0,0,0,0,0,0
15,張穎禾,攔中,0,0,0,0,0,0,0,0,0,0,0,0
17,劉雙菱,長攻,0,11,0,0,4,1,1,2,4,0,0,0
18,BLANCO,攔中,15,30,0,1,12,1,1,0,3,0,0,16
20,詹佳茵,自由,0,0,0,0,0,0,0,0,1,0,0,0
22,李怡萱,自由,0,0,0,0,0,8,15,18,41,0,0,0
