short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
5,林良黛,長攻,0,0,0,0,3,0,0,0,0,0,0,0
6,翁梓勻,攔中,2,9,1,1,21,0,0,1,7,0,0,4
7,林書荷,長攻,18,44,0,0,12,4,24,0,21,0,0,18
9,甘可慧,攔中,8,24,4,0,15,0,1,0,6,0,0,12
10,POLINA,長攻,12,28,1,1,11,0,1,0,10,0,0,14
11,BIA,對角,14,25,1,0,11,1,16,1,12,0,0,15
12,廖苡任,舉球,0,1,0,1,10,0,1,0,12,27,98,1
23,陳莉鎔,舉球,0,0,0,0,2,0,0,0,1,0,8,0
24,王育文,攔中,0,0,0,0,0,0,0,0,0,0,0,0
69,陳潔,對角,1,8,0,0,3,3,9,0,8,0,0,1
77,吳芳妤,長攻,7,12,0,0,3,0,12,0,6,0,0,7
79,丁佩瑩,自由,0,0,0,0,0,0,0,0,0,0,0,0
88,陳佳蔓,舉球,0,1,0,0,3,0,0,0,2,0,25,0
99,邱詩晴,自由,0,0,0,0,0,1,18,4,20,0,0,0
1,李貝兒,長攻,13,37,0,2,20,8,36,0,12,0,0,15
5,葉于雯,攔中,12,27,0,0,14,0,0,0,9,0,0,12
6,童琦芳,長攻,0,0,0,1,2,0,1,0,1,0,0,1
7,謝靖瑩,舉球,0,0,0,0,0,0,0,0,0,0,0,0
8,MIRA,長攻,0,0,0,0,0,0,0,0,0,0,0,0
10,張芷瑄,自由,0,0,0,0,0,0,0,0,0,0,0,0
11,張稦豈,對角,13,39,0,0,12,0,0,0,14,0,0,13
13,YULIA,攔中,2,3,2,0,4,0,0,0,1,0,0,4
15,李子嫣,攔中,3,10,0,0,8,0,0,0,2,0,0,3
18,龔詩雯,長攻,8,34,0,0,11,4,29,1,13,0,0,8
19,陳亭汝,舉球,0,1,0,0,12,0,0,0,17,23,119,0
24,黃蔓亞,對角,1,1,0,0,2,0,0,0,1,0,0,1
33,BREE,長攻,0,0,0,0,0,0,0,0,0,0,0,0
76,林其蓉,自由,0,0,0,0,0,4,21,3,22,0,0,0
