short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
3,呂玟君,攔中,0,0,0,0,0,0,0,0,0,0,0,0
5,林良黛,長攻,1,1,0,0,2,1,4,0,2,0,0,1
6,翁梓勻,攔中,8,18,3,0,17,0,1,1,7,0,0,11
7,林書荷,長攻,15,48,2,1,18,5,17,1,20,0,0,18
9,甘可慧,攔中,21,40,3,1,13,1,3,0,9,0,0,25
11,BIA,對角,10,29,2,0,14,0,0,1,30,0,0,12
12,廖苡任,舉球,1,4,0,0,11,0,1,0,11,24,143,1
22,陳莉鈞,長攻,0,0,0,0,0,0,0,0,0,0,0,0
23,陳莉鎔,舉球,0,0,0,0,2,0,0,0,1,4,9,0
24,王育文,攔中,0,0,0,0,0,0,0,0,0,0,0,0
69,陳潔,對角,1,4,0,0,0,0,3,0,0,0,0,1
77,吳芳妤,長攻,8,35,0,2,27,13,40,3,17,0,0,10
79,丁佩瑩,自由,0,0,0,0,0,0,0,0,0,0,0,0
99,邱詩晴,自由,0,0,0,0,1,4,21,8,28,0,0,0
2,欒妤雯,舉球,0,0,0,1,19,0,0,0,16,20,145,1
5,陳怡如,攔中,0,7,0,0,14,0,1,0,18,0,0,0
6,高歆媛,長攻,1,4,0,0,3,0,0,1,3,0,0,1
7,楊怡真,舉球,0,0,0,0,4,0,0,0,0,1,3,0
9,蔡幼群,長攻,18,42,0,0,13,4,31,3,17,0,0,18
10,吳詠涵,長攻,0,0,0,0,0,0,0,0,0,0,0,0
11,陳菀婷,長攻,15,37,2,0,16,1,1,2,17,0,0,17
13,SANTOS,長攻,16,47,2,0,19,12,33,4,24,0,0,18
14,葉亮言,攔中,0,0,0,0,0,0,0,0,0,0,0,0
15,張穎禾,攔中,0,0,0,0,0,0,0,0,0,0,0,0
17,劉雙菱,長攻,4,14,0,0,2,3,10,1,4,0,0,4
18,BLANCO,攔中,10,21,3,0,13,0,0,1,8,0,0,13
20,詹佳茵,自由,0,0,0,0,0,0,0,0,0,0,0,0
22,李怡萱,自由,0,0,0,0,0,5,17,13,32,0,0,0
